Combo_ID,Target_1_Pct,Target_2_Pct,Target_3_Pct,Stop_Loss_Pct,Max_Holding_Days,Enable_Trailing_SL,Trailing_SL_Pct,Trail_Trigger,T1_Book_Pct,T2_Book_Pct,T3_Runner_Pct,Allocation_Profile,Total_Trades,Completed_Trades,Wins,Losses,Win_Rate_Pct,Avg_Return_Pct,Profit_Factor,T1_Hit_Count,T1_Hit_Rate_Pct,T2_Hit_Count,T2_Hit_Rate_Pct,T3_Hit_Count,T3_Hit_Rate_Pct,Trail_SL_Hit_Count,SL_Hit_Count,Best_Stock,Worst_Stock,CSV_File
COMBO_0034,3.5,6.0,10.0,2.0,10,False,0.0,None,50.0,50.0,0.0,TwoTier_50_50,498,468,212,254,45.3,0.31,1.29,164,35.0,73,15.6,48,10.3,0,254,IVC (+4.75%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H10_NoTSL_Q1_50_Q2_50.csv
COMBO_0201,3.5,6.0,10.0,2.0,2,False,0.0,None,30.0,30.0,40.0,RunnerHeavy_30_30_40,498,468,149,316,31.8,0.31,1.28,146,31.2,55,11.8,49,10.5,17,235,KALYANIFRG (+6.85%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H2_NoTSL_Q1_30_Q2_30.csv
COMBO_0093,4.0,8.0,12.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,188,278,40.2,0.31,1.26,137,29.3,43,9.2,48,10.3,19,278,IVC (+6.80%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_12.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0025,3.5,6.0,10.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,212,254,45.3,0.3,1.28,141,30.1,50,10.7,71,15.2,37,254,IVC (+5.55%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0187,3.5,6.0,10.0,2.0,3,False,0.0,None,33.0,33.0,34.0,Equal_33_33_34,498,468,140,325,29.9,0.3,1.27,148,31.6,52,11.1,60,12.8,24,248,IVC (+6.53%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_33_Q2_33.csv
COMBO_0105,4.0,8.0,15.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,188,278,40.2,0.3,1.25,149,31.8,55,11.8,36,7.7,29,278,IVC (+7.40%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_15.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0057,3.0,6.0,10.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,226,240,48.3,0.29,1.28,159,34.0,56,12.0,65,13.9,31,240,IVC (+5.30%),MODISONLTD (-2.00%),trades_T1_3.0_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0033,3.5,6.0,10.0,2.0,10,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,212,254,45.3,0.29,1.27,140,29.9,49,10.5,72,15.4,41,254,IVC (+5.55%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H10_NoTSL_Q1_50_Q2_30.csv
COMBO_0085,3.5,7.0,12.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,212,254,45.3,0.29,1.27,164,35.0,59,12.6,48,10.3,34,254,IVC (+6.25%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_7.0_T3_12.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0203,3.5,6.0,10.0,2.0,3,False,0.0,None,30.0,30.0,40.0,RunnerHeavy_30_30_40,498,468,139,326,29.7,0.29,1.26,148,31.6,52,11.1,60,12.8,24,248,IVC (+6.85%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H3_NoTSL_Q1_30_Q2_30.csv
COMBO_0113,5.0,8.0,15.0,2.0,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,160,304,34.2,0.28,1.22,108,23.1,55,11.8,32,6.8,21,299,IVC (+7.90%),MANALIPETC (-2.00%),trades_T1_5.0_T2_8.0_T3_15.0_SL_2.0_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0189,3.5,6.0,10.0,2.0,5,False,0.0,None,33.0,33.0,34.0,Equal_33_33_34,498,468,132,334,28.2,0.27,1.24,146,31.2,56,12.0,65,13.9,31,253,IVC (+6.53%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_33_Q2_33.csv
COMBO_0061,3.0,6.0,10.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,225,241,48.1,0.26,1.25,154,32.9,50,10.7,71,15.2,37,241,IVC (+5.30%),MODISONLTD (-2.00%),trades_T1_3.0_T2_6.0_T3_10.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0205,3.5,6.0,10.0,2.0,5,False,0.0,None,30.0,30.0,40.0,RunnerHeavy_30_30_40,498,468,132,334,28.2,0.26,1.23,146,31.2,56,12.0,65,13.9,31,253,IVC (+6.85%),MOREPENLAB (-2.00%),trades_T1_3.5_T2_6.0_T3_10.0_SL_2.0_H5_NoTSL_Q1_30_Q2_30.csv
COMBO_0097,4.0,8.0,12.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,187,279,40.0,0.26,1.22,137,29.3,48,10.3,48,10.3,27,279,IVC (+6.80%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_12.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0043,2.5,5.0,8.0,2.5,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,185,203,39.5,0.25,1.24,163,34.8,51,10.9,93,19.9,31,197,BLISSGVS (+4.35%),IVP (-2.50%),trades_T1_2.5_T2_5.0_T3_8.0_SL_2.5_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0109,4.0,8.0,15.0,2.0,7,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,187,279,40.0,0.25,1.21,148,31.6,59,12.6,37,7.9,37,279,IVC (+7.40%),MOREPENLAB (-2.00%),trades_T1_4.0_T2_8.0_T3_15.0_SL_2.0_H7_NoTSL_Q1_50_Q2_30.csv
COMBO_0079,3.5,7.0,12.0,2.5,3,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,222,243,47.4,0.25,1.2,166,35.5,58,12.4,46,9.8,19,230,IVC (+6.25%),MOREPENLAB (-2.50%),trades_T1_3.5_T2_7.0_T3_12.0_SL_2.5_H3_NoTSL_Q1_50_Q2_30.csv
COMBO_0117,5.0,8.0,15.0,2.0,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,156,310,33.3,0.24,1.18,114,24.4,55,11.8,36,7.7,29,310,IVC (+7.90%),MANALIPETC (-2.00%),trades_T1_5.0_T2_8.0_T3_15.0_SL_2.0_H5_NoTSL_Q1_50_Q2_30.csv
COMBO_0047,2.5,5.0,8.0,2.5,5,False,0.0,None,50.0,30.0,20.0,Balanced_50_30_20,498,468,175,207,37.4,0.23,1.21,159,34.0,60,12.8,98,20.9,37,204,BLISSGVS (+4.35%),IVP (-2.50%),trades_T1_2.5_T2_5.0_T3_8.0_SL_2.5_H5_NoTSL_Q1_50_Q2_30.csv
